"","year","synthetic","NTP"
"2001",2001,1.0026915863392,0.987
"2002",2002,0.944152219140308,1.059
"2003",2003,0.921105669759593,0.946
"2004",2004,0.949720453661227,0.96
"2005",2005,0.944562847200231,0.975
"2006",2006,0.981988624955749,0.901
"2007",2007,1.01329827708598,0.93
"2008",2008,0.908884347363855,0.924
"2009",2009,0.922257236311459,0.933
"2010",2010,0.943562556615913,0.917
"2011",2011,0.942607011435857,0.738
"2012",2012,0.972403048295767,0.773
"2013",2013,0.980104309619181,0.741
"2014",2014,0.992493617228383,0.699
"2015",2015,0.986847463318062,0.649
"2016",2016,0.957674584337345,0.681
"2017",2017,1.02321250623541,0.797
"2018",2018,1.27785530619277,1.056
